Name;Passport;City from;City to;Date from;Date to;Train;Seat;Cost;Card
Ендрикова Катерина Михайловна;8525642919;Санкт-Петербург;Пермь;2024-04-30 17:00:00;2024-05-06 12:00:00;141;3-9;2746;4377736552931602
Старилова Кристина Игоревна;7612673800;Казань;Пермь;2024-04-26 14:00:00;2024-04-29 10:00:00;771;9-39;24589;4105840325607926
Недорубова Екатерина Викторовна;8688798634;Казань;Уфа;2024-03-03 09:00:00;2024-03-05 07:00:00;582;8-25;3396;2195394445614684
Небожев Константин Романович;6723721069;Ростов-на-Дону;Челябинск;2024-03-30 15:00:00;2024-04-06 16:00:00;788;7-12;7935;2216245216277815
Кулявина Вера Яковлевна;9423706282;Краснодар;Челябинск;2023-12-29 20:00:00;2024-01-03 23:00:00;453;2-14;4998;2216240521905330
Левжинский Анатолий Кириллович;6554659823;Казань;Пермь;2024-04-26 14:00:00;2024-04-29 10:00:00;771;6-38;25138;2216243191819746
Рощинин Андрей Денисович;8879273590;Казань;Пермь;2024-05-01 17:00:00;2024-05-04 22:00:00;144;7-92;2589;2279013505464114
Студенская Тамара Михайловна;2644080383;Нижний Новгород;Уфа;2023-05-05 18:00:00;2023-05-08 02:00:00;298;6-34;5830;2279017250569976
Даютова Зинаида Егоровна;6092555325;Ростов-на-Дону;Воронеж;2023-05-12 10:00:00;2023-05-14 00:00:00;368;1-93;2128;2279017224554791
Драгалов Денис Кириллович;9883958003;Самара;Новосибирск;2024-01-25 21:00:00;2024-01-30 15:00:00;402;9-41;4024;2216249823579406
Литышев Денис Василиевич;5720536847;Москва;Челябинск;2023-06-14 04:00:00;2023-06-16 20:00:00;73;10-79;3115;4279663427618727
Ллогвинова Ева Николаевна;3394328223;Санкт-Петербург;Пермь;2024-04-30 17:00:00;2024-05-06 12:00:00;141;5-38;4422;2195398383350966
Мицинский Георгий Петрович;9541753888;Воронеж;Самара;2023-06-13 23:00:00;2023-06-20 10:00:00;286;6-49;5892;4377731888246643
Шкалов Владислав Кириллович;3681402031;Пермь;Москва;2023-09-01 20:00:00;2023-09-08 00:00:00;549;4-7;3444;5213245414440975
Шадина Раиса Викторовна;9616046354;Пермь;Нижний Новгород;2023-08-29 05:00:00;2023-09-04 21:00:00;702;10-5;12417;5154297117850429
Селимова София Андреевна;4111507471;Пермь;Москва;2023-09-01 20:00:00;2023-09-08 00:00:00;549;1-94;3275;2216242550911823
Сюзев Степан Николаевич;1806706651;Ростов-на-Дону;Челябинск;2024-03-30 15:00:00;2024-04-06 16:00:00;788;10-11;21431;2216247364497065
Куянова Юлия Андреевна;6667456197;Казань;Пермь;2024-04-26 14:00:00;2024-04-29 10:00:00;771;4-56;27900;5213242207098809
Боцкин Андрей Фёдорович;6926619548;Нижний Новгород;Уфа;2023-05-05 18:00:00;2023-05-08 02:00:00;298;10-98;4636;2216245089483098
Этингина Оксана Яковлевна;7488406699;Самара;Новосибирск;2024-01-25 21:00:00;2024-01-30 15:00:00;402;9-4;4341;5154294048384035
Чертова Алена Романовна;9364900605;Казань;Уфа;2024-03-03 09:00:00;2024-03-05 07:00:00;582;4-40;5455;5469351640184503
Чмутова Юлия Андреевна;5517587480;Казань;Самара;2023-10-12 06:00:00;2023-10-15 04:00:00;238;2-57;5620;5154292137357708
Свершкова Светлана Максимовна;8262541351;Ростов-на-Дону;Воронеж;2023-05-12 10:00:00;2023-05-14 00:00:00;368;7-82;2779;2195397420067543
Кортьева Алина Федоровна;5301527721;Санкт-Петербург;Екатеринбург;2023-07-29 02:00:00;2023-08-03 23:00:00;375;7-88;3850;2279011799756179
Федишева Вера Андреевна;6293503618;Пермь;Ростов-на-Дону;2023-11-13 13:00:00;2023-11-20 16:00:00;145;8-74;2024;4377732347885160
Южаков Антон Антонович;5469975970;Пермь;Самара;2023-05-22 15:00:00;2023-05-27 09:00:00;331;6-59;2726;5213246178317187
Сумтанова Кира Романовна;7173649511;Казань;Новосибирск;2023-05-19 10:00:00;2023-05-21 14:00:00;80;1-21;2671;2216246026344299
Слюсарева Зинаида Валерьевна;3507148859;Краснодар;Нижний Новгород;2023-09-25 11:00:00;2023-09-26 22:00:00;95;8-2;4613;5469356786582083
Блиокова Ксения Василевна;9135667578;Краснодар;Челябинск;2023-12-29 20:00:00;2024-01-03 23:00:00;453;2-37;6108;5213246488848202
Геричева Яна Василевна;1760275251;Ростов-на-Дону;Воронеж;2023-05-12 10:00:00;2023-05-14 00:00:00;368;6-71;4481;4105840816066164
Пялин Степан Борисович;8495995257;Ростов-на-Дону;Воронеж;2023-11-27 22:00:00;2023-12-02 23:00:00;138;5-77;2617;5469359950228427
Зынин Павел Романович;2794357119;Казань;Пермь;2024-05-01 17:00:00;2024-05-04 22:00:00;144;7-65;4439;4279662466028755
Кловацкая Наталия Андреевна;8316528574;Новосибирск;Нижний Новгород;2023-08-02 23:00:00;2023-08-09 18:00:00;279;2-60;4679;5213245400056726
Зезин Семён Андреевич;3198065609;Казань;Новосибирск;2023-05-19 10:00:00;2023-05-21 14:00:00;80;8-58;3024;5469351379281385
Хрулева Полина Петровна;2972360056;Ростов-на-Дону;Воронеж;2023-05-12 10:00:00;2023-05-14 00:00:00;368;1-8;4499;2195396692244988
Ишмурадова Виолетта Никитична;9542653873;Самара;Казань;2023-05-28 18:00:00;2023-06-03 11:00:00;41;7-56;2627;2216243442597134
Маклигина Ирина Борисовна;3675020603;Уфа;Волгоград;2024-03-08 12:00:00;2024-03-13 12:00:00;283;4-8;4932;4105843769434926
Папцова Софья Николаевна;9003069109;Самара;Волгоград;2023-10-26 15:00:00;2023-10-28 05:00:00;710;8-42;14184;2216248657715221
Броварская Анна Максимовна;8882597726;Ростов-на-Дону;Омск;2024-01-24 11:00:00;2024-01-31 08:00:00;237;2-78;3039;2195391335342953
Котминский Артём Олегович;5573546920;Пермь;Ростов-на-Дону;2023-11-13 13:00:00;2023-11-20 16:00:00;145;6-4;4615;4377732881390984
Кодяшкин Дмитрий Викторович;5951827469;Казань;Новосибирск;2023-05-19 10:00:00;2023-05-21 14:00:00;80;7-13;2407;4377739585405377
Бендов Денис Алексиевич;9975130792;Пермь;Уфа;2024-02-20 02:00:00;2024-02-24 16:00:00;769;4-53;21778;4279666550277937
Федунина Ольга Вадимовна;8868939685;Москва;Челябинск;2023-06-14 04:00:00;2023-06-16 20:00:00;73;1-30;3478;4279663527774207
Зеулина Юлия Вадимовна;2851287055;Ростов-на-Дону;Воронеж;2023-05-12 10:00:00;2023-05-14 00:00:00;368;4-88;2430;4279664089507866
Уральский Антон Фёдорович;6583735751;Пермь;Казань;2024-01-06 02:00:00;2024-01-09 16:00:00;233;7-47;4342;2216245234158743
Будолин Дмитрий Олегович;8986714985;Самара;Волгоград;2023-10-26 15:00:00;2023-10-28 05:00:00;710;3-20;13285;5213246938335922
Грачев Аркадий Кириллович;9302412498;Санкт-Петербург;Пермь;2024-04-30 17:00:00;2024-05-06 12:00:00;141;2-2;4403;2216245435659093
Тесенков Владимир Петрович;3203567022;Краснодар;Челябинск;2023-12-29 20:00:00;2024-01-03 23:00:00;453;6-86;5017;2216243019560412
Сожигаев Степан Игоревич;7335388821;Ростов-на-Дону;Воронеж;2023-05-12 10:00:00;2023-05-14 00:00:00;368;6-6;2926;4105845727134615
Кирякова Яна Дмитриевна;8390769121;Челябинск;Самара;2023-12-03 03:00:00;2023-12-07 12:00:00;193;8-90;6100;4377732161212260
Эльшова Алиса Ивановна;7369862862;Краснодар;Челябинск;2023-12-29 20:00:00;2024-01-03 23:00:00;453;4-79;5156;2195392815523659
Выжимов Дмитрий Максимович;3366485787;Новосибирск;Нижний Новгород;2023-08-02 23:00:00;2023-08-09 18:00:00;279;6-59;5605;2216242389768057
Димитришин Роман Кириллович;9304589656;Нижний Новгород;Уфа;2023-05-05 18:00:00;2023-05-08 02:00:00;298;6-5;4164;4377737087141438
Кашелев Михаил Евгеньевич;5707704166;Москва;Челябинск;2023-06-14 04:00:00;2023-06-16 20:00:00;73;5-7;4762;5154299670896847
Мазитов Эдуард Михаилович;6621073640;Ростов-на-Дону;Омск;2024-01-24 11:00:00;2024-01-31 08:00:00;237;9-25;5384;4279662173954598
Метлицкий Герасим Василиевич;1583312295;Санкт-Петербург;Екатеринбург;2023-07-29 02:00:00;2023-08-03 23:00:00;375;5-19;4878;5469351864765082
Митянкова Александра Валерьевна;9098623000;Челябинск;Воронеж;2023-08-09 07:00:00;2023-08-15 10:00:00;403;10-85;2726;2216246733171914
Фелипкова Жанна Аркадьевна;4443481029;Ростов-на-Дону;Воронеж;2023-05-12 10:00:00;2023-05-14 00:00:00;368;7-15;4439;4377732780974849
Калитаева Вера Вадимовна;1735748985;Казань;Пермь;2024-05-01 17:00:00;2024-05-04 22:00:00;144;3-36;3947;2216242193826212
Фоломешина Анастасия Василевна;6310082765;Самара;Волгоград;2023-10-26 15:00:00;2023-10-28 05:00:00;710;4-90;6675;5469356666152963
Кумеркина Раиса Никитична;1001580270;Казань;Новосибирск;2023-05-19 10:00:00;2023-05-21 14:00:00;80;3-88;2279;5213243826477938
Хушинская Раиса Романовна;3499992692;Казань;Уфа;2024-03-03 09:00:00;2024-03-05 07:00:00;582;10-36;4570;4279668127242768
Каехтина Карина Романовна;9257354445;Казань;Пермь;2024-04-26 14:00:00;2024-04-29 10:00:00;771;9-100;9986;5154294953661837
Ванецев Олег Леонидович;3088494155;Санкт-Петербург;Пермь;2024-04-30 17:00:00;2024-05-06 12:00:00;141;7-62;2983;2216242190939560
Шимелов Владислав Сергеевич;2543858834;Ростов-на-Дону;Воронеж;2023-05-12 10:00:00;2023-05-14 00:00:00;368;8-24;2509;2216248240128498
Арифулов Артём Викторович;4715315187;Ростов-на-Дону;Воронеж;2023-11-27 22:00:00;2023-12-02 23:00:00;138;7-39;3693;4105847179982611
Годинов Вадим Аркадиевич;4393288730;Пермь;Казань;2024-01-06 02:00:00;2024-01-09 16:00:00;233;7-17;4898;2195395388620205
Стрежнев Владимир Фёдорович;6927321010;Пермь;Казань;2024-01-06 02:00:00;2024-01-09 16:00:00;233;9-7;4229;2216243006096683
Тыминская Алина Максимовна;4805267968;Казань;Уфа;2024-03-03 09:00:00;2024-03-05 07:00:00;582;3-49;4225;5469358538833180
Пирожихин Григорий Юрьевич;2686550867;Ростов-на-Дону;Воронеж;2023-05-12 10:00:00;2023-05-14 00:00:00;368;9-10;4507;4377739361734823
Нелидов Руслан Николаевич;2125839130;Пермь;Самара;2023-05-22 15:00:00;2023-05-27 09:00:00;331;10-28;2918;2279010078578158
Курдышова Юлия Алексеевна;5949425597;Самара;Новосибирск;2024-01-25 21:00:00;2024-01-30 15:00:00;402;7-37;4350;2195394203359141
Крутков Анатолий Михаилович;3311589852;Красноярск;Краснодар;2024-03-04 06:00:00;2024-03-10 16:00:00;596;9-16;5762;2216243387403335
Хохонов Степан Юриевич;4838828427;Нижний Новгород;Уфа;2023-05-05 18:00:00;2023-05-08 02:00:00;298;6-98;5152;4105843330304403
Тумнаров Евгений Михаилович;4820720091;Пермь;Москва;2023-09-01 20:00:00;2023-09-08 00:00:00;549;7-23;5240;5213246049812568
Руданов Алексей Антонович;5691930573;Челябинск;Воронеж;2023-08-09 07:00:00;2023-08-15 10:00:00;403;6-91;4496;2216247991238707
Дорогайцев Павел Юриевич;4340139928;Ростов-на-Дону;Воронеж;2023-11-27 22:00:00;2023-12-02 23:00:00;138;4-78;4963;2279013031226702
Главизнина Клавдия Сергеевна;4916835695;Челябинск;Воронеж;2023-08-09 07:00:00;2023-08-15 10:00:00;403;1-36;4965;2279017519510356
Земгрина Виолетта Валерьевна;9870530171;Нижний Новгород;Волгоград;2023-07-29 00:00:00;2023-08-03 18:00:00;357;1-38;2975;2279010961118776
Жмалов Валентин Сергеевич;3246730628;Ростов-на-Дону;Челябинск;2024-03-30 15:00:00;2024-04-06 16:00:00;788;9-74;24692;2279011855046858
Чепинева Маргарита Борисовна;4687674412;Пермь;Ростов-на-Дону;2023-11-13 13:00:00;2023-11-20 16:00:00;145;3-49;3887;4377738476261404
Кутлина Полина Яковлевна;4987095448;Пермь;Нижний Новгород;2023-08-29 05:00:00;2023-09-04 21:00:00;702;4-33;13943;4105849595158561
Шмаин Станислав Виталиевич;3030540200;Санкт-Петербург;Екатеринбург;2023-07-29 02:00:00;2023-08-03 23:00:00;375;1-82;4085;5213242792499971
Куповский Виктор Алексиевич;2510885131;Пермь;Уфа;2024-02-20 02:00:00;2024-02-24 16:00:00;769;9-28;13538;2195397956646436
Попушков Никита Леонидович;4606480544;Волгоград;Пермь;2023-05-14 04:00:00;2023-05-17 21:00:00;597;2-32;5740;5154294840917473
Попвасева София Игоревна;8331872686;Самара;Казань;2023-05-28 18:00:00;2023-06-03 11:00:00;41;1-87;2242;4377734339306836
Адомов Константин Вадимович;8646069259;Красноярск;Краснодар;2024-03-04 06:00:00;2024-03-10 16:00:00;596;10-1;4702;4105848110223393
Турпаков Яков Фёдорович;8286284266;Уфа;Нижний Новгород;2023-11-20 14:00:00;2023-11-26 12:00:00;467;10-84;3418;4105844436261847
Мерсов Денис Максимович;3639442327;Нижний Новгород;Волгоград;2023-07-29 00:00:00;2023-08-03 18:00:00;357;8-37;3965;5213242021362413
Жихарский Антон Адамович;7732939296;Казань;Новосибирск;2023-05-19 10:00:00;2023-05-21 14:00:00;80;8-72;3381;5213241214379431
Кондурков Андрей Адамович;5215190543;Казань;Пермь;2024-05-01 17:00:00;2024-05-04 22:00:00;144;10-84;4986;2279019003710968
Роговин Анатолий Павлович;7829763631;Красноярск;Краснодар;2024-03-04 06:00:00;2024-03-10 16:00:00;596;4-17;5493;5213249237123157
Обриваев Олег Игоревич;2122419659;Волгоград;Пермь;2023-05-14 04:00:00;2023-05-17 21:00:00;597;3-44;4987;4279669178512320
Латутина Алена Алексеевна;6035524898;Казань;Новосибирск;2023-05-19 10:00:00;2023-05-21 14:00:00;80;8-21;4395;4105847626716701
Гапимбенов Семён Игоревич;8362592558;Челябинск;Воронеж;2023-08-09 07:00:00;2023-08-15 10:00:00;403;5-90;3198;5213242174438790
Бристина Алёна Максимовна;4884842544;Москва;Челябинск;2023-06-14 04:00:00;2023-06-16 20:00:00;73;5-26;4496;4279664261396209
Базарбаев Антон Данилович;8739481482;Самара;Волгоград;2023-10-26 15:00:00;2023-10-28 05:00:00;710;10-15;13234;2216242106440251
Вакхов Василий Виталиевич;8564629451;Самара;Новосибирск;2024-01-25 21:00:00;2024-01-30 15:00:00;402;9-26;2217;2216243522962887
Некалин Максим Виталиевич;8876625208;Новосибирск;Нижний Новгород;2023-08-02 23:00:00;2023-08-09 18:00:00;279;2-9;4073;4377738587844977
Булакаев Артём Петрович;1666917272;Самара;Новосибирск;2024-01-25 21:00:00;2024-01-30 15:00:00;402;4-82;2996;5469351027691374
Широнов Геннадий Олегович;1858216336;Самара;Волгоград;2023-10-26 15:00:00;2023-10-28 05:00:00;710;10-79;11054;5213247726859180
Быковский Виталий Антонович;7887012261;Пермь;Самара;2023-05-22 15:00:00;2023-05-27 09:00:00;331;8-40;2042;5154293214056964
Чунючин Федор Вадимович;6191635605;Самара;Новосибирск;2024-01-25 21:00:00;2024-01-30 15:00:00;402;3-82;4788;2279015903843784
Кармашкина Инна Валерьевна;1938027301;Челябинск;Воронеж;2023-08-09 07:00:00;2023-08-15 10:00:00;403;4-48;4298;4377731945104199
Гетманов Андрей Андреевич;3963984332;Красноярск;Краснодар;2024-03-04 06:00:00;2024-03-10 16:00:00;596;5-62;4348;5469358877048340
Никешичева Надежда Эдуардовна;5426042839;Челябинск;Новосибирск;2023-06-03 02:00:00;2023-06-08 17:00:00;413;10-72;3537;5213245262182430
Баравков Виталий Сергеевич;2785908921;Новосибирск;Нижний Новгород;2023-08-02 23:00:00;2023-08-09 18:00:00;279;10-63;5054;2195390563953436
Потрошков Владислав Андреевич;6477681375;Пермь;Ростов-на-Дону;2023-11-13 13:00:00;2023-11-20 16:00:00;145;6-14;2458;5154294912455997
Промакова Виктория Максимовна;4106885329;Казань;Самара;2023-10-12 06:00:00;2023-10-15 04:00:00;238;1-61;3191;5469357317924171
Хорпикова Кира Алексеевна;4624091778;Ростов-на-Дону;Воронеж;2023-05-12 10:00:00;2023-05-14 00:00:00;368;6-87;2678;4377738831202419
Форшенев Руслан Валериевич;6297681716;Самара;Волгоград;2023-10-26 15:00:00;2023-10-28 05:00:00;710;10-97;11860;4377732414681532
Холошина Людмила Олеговна;3688557210;Москва;Челябинск;2023-06-14 04:00:00;2023-06-16 20:00:00;73;8-36;2510;2216247811748132
Рыбанов Аркадий Георгиевич;4347142548;Пермь;Нижний Новгород;2023-08-29 05:00:00;2023-09-04 21:00:00;702;4-45;8454;4279665676937574
Асметкин Ярослав Фёдорович;6065192632;Нижний Новгород;Волгоград;2023-07-29 00:00:00;2023-08-03 18:00:00;357;4-56;2962;5213245144275171
Фейзина Ольга Максимовна;2327365229;Ростов-на-Дону;Воронеж;2023-05-12 10:00:00;2023-05-14 00:00:00;368;4-10;2606;2279017854452995
Ключкова Людмила Евгеньевна;1411100400;Волгоград;Пермь;2023-05-14 04:00:00;2023-05-17 21:00:00;597;7-90;4351;2216243933942231
Каптаков Кирилл Виталиевич;6571058839;Пермь;Самара;2023-05-22 15:00:00;2023-05-27 09:00:00;331;9-24;3434;2216241720463953
Погромский Пётр Сергеевич;5619456354;Ростов-на-Дону;Воронеж;2023-11-27 22:00:00;2023-12-02 23:00:00;138;1-68;3526;4279661839232468
Сятрайкин Яков Фёдорович;6413004619;Самара;Новосибирск;2024-01-25 21:00:00;2024-01-30 15:00:00;402;6-86;2899;4279668609057181
Десятков Константин Яковлевич;2441149427;Казань;Самара;2023-10-12 06:00:00;2023-10-15 04:00:00;238;2-79;4616;2195395252132322
Полуденков Валентин Денисович;5595464944;Санкт-Петербург;Пермь;2024-04-30 17:00:00;2024-05-06 12:00:00;141;4-75;2342;4279669656106072
Фирскова Ирина Леонидовна;6994068363;Нижний Новгород;Уфа;2023-05-05 18:00:00;2023-05-08 02:00:00;298;3-68;4232;4279664781769459
Воротков Валерий Данилович;8952267254;Краснодар;Челябинск;2023-12-29 20:00:00;2024-01-03 23:00:00;453;6-25;6113;4377735339494487
Боржицкая Дарья Валерьевна;2078765219;Казань;Самара;2023-10-12 06:00:00;2023-10-15 04:00:00;238;4-2;3911;4377736448559118
Туисов Владислав Павлович;5286343642;Челябинск;Самара;2023-12-03 03:00:00;2023-12-07 12:00:00;193;5-53;5889;5213244709312476
Дайнова Мария Аркадьевна;2446237692;Казань;Пермь;2024-04-26 14:00:00;2024-04-29 10:00:00;771;8-7;28999;2216240474287594
Шевяков Владимир Данилович;2055915594;Нижний Новгород;Уфа;2023-05-05 18:00:00;2023-05-08 02:00:00;298;6-65;4117;2195397992587458
Неборичева Людмила Аркадьевна;3552122161;Санкт-Петербург;Пермь;2024-04-30 17:00:00;2024-05-06 12:00:00;141;1-29;4772;2195395831734633
Барибина Жанна Николаевна;9230345114;Пермь;Казань;2024-01-06 02:00:00;2024-01-09 16:00:00;233;7-22;6176;4377737620994342
Климинова Карина Викторовна;5387066896;Казань;Пермь;2024-04-26 14:00:00;2024-04-29 10:00:00;771;4-98;7829;2216249170011913
Загогова Наталья Олеговна;1079261231;Уфа;Волгоград;2024-03-08 12:00:00;2024-03-13 12:00:00;283;1-7;3935;2216245133051972
Гарданов Борис Вадимович;3929014049;Челябинск;Воронеж;2023-08-09 07:00:00;2023-08-15 10:00:00;403;6-33;3656;5469357063689161
Якубенков Григорий Романович;9710739982;Ростов-на-Дону;Воронеж;2023-05-12 10:00:00;2023-05-14 00:00:00;368;10-8;4125;2216240795285725
Чарцева Кристина Эдуардовна;5648212888;Самара;Новосибирск;2024-01-25 21:00:00;2024-01-30 15:00:00;402;2-82;4852;2216241828658341
Мазетов Вячеслав Данилович;7840886907;Пермь;Самара;2023-05-22 15:00:00;2023-05-27 09:00:00;331;7-79;4490;4377730306569111
Ишинкина Яна Николаевна;2454795555;Самара;Новосибирск;2024-01-25 21:00:00;2024-01-30 15:00:00;402;1-25;4581;4377732398837862
Турова Алёна Леонидовна;3389391042;Казань;Пермь;2024-05-01 17:00:00;2024-05-04 22:00:00;144;10-50;3883;4377731000180102
Салыгин Виталий Викторович;6055121490;Воронеж;Самара;2023-06-13 23:00:00;2023-06-20 10:00:00;286;9-12;5452;4377731016972014
Катилина Елизавета Сергеевна;9262650298;Санкт-Петербург;Екатеринбург;2023-07-29 02:00:00;2023-08-03 23:00:00;375;4-54;3008;2216248623202211
Соловаев Евгений Романович;1027670683;Краснодар;Челябинск;2023-12-29 20:00:00;2024-01-03 23:00:00;453;4-61;5493;4377732212306809
Шешин Вадим Данилович;1433755556;Казань;Новосибирск;2023-05-19 10:00:00;2023-05-21 14:00:00;80;10-15;2187;5213248232103387
Пахолкин Ярослав Вадимович;2005276007;Краснодар;Нижний Новгород;2023-09-25 11:00:00;2023-09-26 22:00:00;95;10-60;2099;5213244583655380
Реупова София Дмитриевна;4945307307;Казань;Пермь;2024-05-01 17:00:00;2024-05-04 22:00:00;144;4-14;2839;5213245176055470
Лианозова Валентина Федоровна;3342097777;Самара;Новосибирск;2024-01-25 21:00:00;2024-01-30 15:00:00;402;9-14;3507;2279012964379346
Смолдырев Ярослав Сергеевич;2873066752;Краснодар;Нижний Новгород;2023-09-25 11:00:00;2023-09-26 22:00:00;95;6-43;3594;5469359870539703
Улогова Екатерина Егоровна;8938686777;Челябинск;Самара;2023-12-03 03:00:00;2023-12-07 12:00:00;193;8-36;4532;5154296768390685
Кильчицкий Степан Тимофеевич;6959738204;Москва;Челябинск;2023-06-14 04:00:00;2023-06-16 20:00:00;73;2-76;4677;5469352657544365
Гринцова Маргарита Андреевна;6746781268;Ростов-на-Дону;Воронеж;2023-11-27 22:00:00;2023-12-02 23:00:00;138;7-54;3288;2216249311971661
Тумольский Андрей Николаевич;9934571743;Ростов-на-Дону;Воронеж;2023-05-12 10:00:00;2023-05-14 00:00:00;368;8-2;3380;5213242225693211
Лихацкий Артём Николаевич;3373251504;Самара;Новосибирск;2024-01-25 21:00:00;2024-01-30 15:00:00;402;5-11;2805;2216243967428361
Митясов Юрий Вадимович;3762098779;Самара;Волгоград;2023-10-26 15:00:00;2023-10-28 05:00:00;710;8-7;6247;5154297603509542
Безобратов Алексей Антонович;7810313365;Казань;Новосибирск;2023-05-19 10:00:00;2023-05-21 14:00:00;80;6-5;4897;4377737847997758
Розинов Вадим Романович;2081796392;Челябинск;Новосибирск;2023-06-03 02:00:00;2023-06-08 17:00:00;413;2-60;4916;5213244026598389
Сиплатова Евгения Романовна;6352864954;Ростов-на-Дону;Воронеж;2023-05-12 10:00:00;2023-05-14 00:00:00;368;8-43;3974;4105841067724201
Любашкин Артур Валериевич;9702918818;Самара;Новосибирск;2024-01-25 21:00:00;2024-01-30 15:00:00;402;3-59;2815;5213244667732435
Папандина Ирина Василевна;1698713680;Казань;Уфа;2024-03-03 09:00:00;2024-03-05 07:00:00;582;5-92;4287;5469353807817320
Тетешкина Полина Андреевна;7422433492;Краснодар;Нижний Новгород;2023-09-25 11:00:00;2023-09-26 22:00:00;95;8-93;2561;5213245523098269
Гулевских Альберт Петрович;7839430828;Красноярск;Краснодар;2024-03-04 06:00:00;2024-03-10 16:00:00;596;6-48;4070;2279017132024082
Шныриков Анатолий Иванович;8487194976;Казань;Уфа;2024-03-03 09:00:00;2024-03-05 07:00:00;582;6-100;6181;5154299054584880
Ледащева Ксения Игоревна;8888225966;Пермь;Нижний Новгород;2023-08-29 05:00:00;2023-09-04 21:00:00;702;9-9;13150;2216249081271302
Петрухина Дарья Игоревна;6754055321;Пермь;Уфа;2024-02-20 02:00:00;2024-02-24 16:00:00;769;2-30;6351;2195394611083511
Неледова Алла Егоровна;5528055259;Самара;Волгоград;2023-10-26 15:00:00;2023-10-28 05:00:00;710;5-29;10994;4377735646948165
Кочергов Аркадий Петрович;2907339687;Краснодар;Челябинск;2023-12-29 20:00:00;2024-01-03 23:00:00;453;10-81;3615;4377734839536746
Кинчевский Денис Игоревич;2668555788;Москва;Челябинск;2023-06-14 04:00:00;2023-06-16 20:00:00;73;2-53;4784;2195393608729096
Голомина Вера Эдуардовна;3478650958;Челябинск;Самара;2023-12-03 03:00:00;2023-12-07 12:00:00;193;7-12;5141;4377734786362170
Хатимская Кристина Яковлевна;6051898482;Пермь;Уфа;2024-02-20 02:00:00;2024-02-24 16:00:00;769;2-21;25288;2279014378764319
Мальгамова Валерия Кирилловна;1516947883;Пермь;Уфа;2024-02-20 02:00:00;2024-02-24 16:00:00;769;8-52;27801;5154297944747318
Варисков Павел Иванович;1097919543;Ростов-на-Дону;Воронеж;2023-05-12 10:00:00;2023-05-14 00:00:00;368;7-17;2128;4279668186507086
Каковкина Алина Алексеевна;4056607192;Волгоград;Пермь;2023-05-14 04:00:00;2023-05-17 21:00:00;597;1-6;3757;5469354790449245
Ишмаков Эдуард Олегович;6696004912;Краснодар;Челябинск;2023-12-29 20:00:00;2024-01-03 23:00:00;453;4-66;3796;2216241176134449
Пупкина Клавдия Василевна;7727603115;Пермь;Самара;2023-05-22 15:00:00;2023-05-27 09:00:00;331;9-2;4857;2216247539526786
