Name;Passport;City from;City to;Date from;Date to;Train;Seat;Cost;Card
Кислинских Зинаида Василевна;4159788536;Челябинск;Санкт-Петербург;2024-01-19 22:00:00;2024-01-21 16:00:00;328;1-86;4566;4377738564026000
Боровичев Игорь Михаилович;9519146431;Краснодар;Москва;2024-04-09 20:00:00;2024-04-13 02:00:00;310;10-84;3190;2216249691317859
Опульский Роман Олегович;9917811974;Санкт-Петербург;Челябинск;2023-06-13 06:00:00;2023-06-15 21:00:00;729;6-8;9344;5154292945052804
Ширкеев Павел Евгеньевич;7590898058;Челябинск;Санкт-Петербург;2024-01-19 22:00:00;2024-01-21 16:00:00;328;6-38;4482;5213245416095976
Рябов Михаил Максимович;4725667487;Москва;Пермь;2023-10-26 08:00:00;2023-10-29 10:00:00;197;4-16;4975;2195399181834500
Буткеев Артём Кириллович;2490725952;Волгоград;Нижний Новгород;2023-05-11 18:00:00;2023-05-12 20:00:00;104;9-55;2527;2279015325629494
Хвостунков Федор Данилович;1626127206;Москва;Пермь;2023-10-26 08:00:00;2023-10-29 10:00:00;197;3-62;5059;4377739626365328
Крестов Геннадий Игоревич;4717351135;Воронеж;Краснодар;2023-12-31 12:00:00;2024-01-05 08:00:00;557;4-63;5422;2279017505352864
Булисов Борис Алексиевич;9218619063;Москва;Пермь;2023-10-26 08:00:00;2023-10-29 10:00:00;197;7-87;4668;2195392567326522
Моклочков Валерий Данилович;7036356802;Санкт-Петербург;Челябинск;2023-06-13 06:00:00;2023-06-15 21:00:00;729;5-25;12474;5213243181488010
Куртепов Яков Игоревич;5276452207;Волгоград;Нижний Новгород;2023-05-11 18:00:00;2023-05-12 20:00:00;104;6-93;2597;4279668469450024
Бычурин Станислав Иванович;6937466282;Екатеринбург;Воронеж;2024-01-14 13:00:00;2024-01-16 03:00:00;385;4-50;2842;4279663179997647
Минеев Герасим Яковлевич;7468378535;Ростов-на-Дону;Омск;2024-04-01 13:00:00;2024-04-02 16:00:00;228;9-65;5367;4105840887116206
Баглаева Кристина Евгеньевна;8189674047;Казань;Екатеринбург;2024-03-01 17:00:00;2024-03-04 14:00:00;289;8-60;3937;5154293975556475
Стугирева Инна Петровна;1283486898;Казань;Екатеринбург;2024-03-01 17:00:00;2024-03-04 14:00:00;289;10-36;5308;2195395031972891
Рыжакин Максим Павлович;5903239193;Краснодар;Омск;2023-09-28 03:00:00;2023-09-29 06:00:00;246;5-28;4430;2195394565916179
Юндева Вероника Эдуардовна;6322039919;Ростов-на-Дону;Казань;2023-11-19 21:00:00;2023-11-24 22:00:00;569;3-2;4044;2279016920972350
Залипахин Федор Тимофеевич;3920530071;Казань;Екатеринбург;2024-03-01 17:00:00;2024-03-04 14:00:00;289;4-3;4331;4377738464175835
Белицкий Борис Алексиевич;7394316738;Ростов-на-Дону;Омск;2024-04-01 13:00:00;2024-04-02 16:00:00;228;3-68;6473;5469358699136307
Мещегорина Наталия Алексеевна;9642155521;Нижний Новгород;Санкт-Петербург;2024-01-10 16:00:00;2024-01-17 10:00:00;399;8-4;3944;4105848525004519
Карбаинова Виктория Николаевна;4986154933;Краснодар;Москва;2024-04-09 20:00:00;2024-04-13 02:00:00;310;4-32;3075;2216243617252225
Матосова Ольга Викторовна;4700203910;Санкт-Петербург;Челябинск;2023-06-13 06:00:00;2023-06-15 21:00:00;729;8-70;4721;5213242790940631
Альфина Наталия Валерьевна;9416724115;Нижний Новгород;Санкт-Петербург;2024-01-10 16:00:00;2024-01-17 10:00:00;399;7-35;4641;2216247935058414
Батухин Вячеслав Романович;8145069099;Ростов-на-Дону;Казань;2023-11-19 21:00:00;2023-11-24 22:00:00;569;1-5;6410;2216243208729082
Голдаева Любовь Вадимовна;3793556904;Волгоград;Новосибирск;2023-09-02 03:00:00;2023-09-06 14:00:00;456;9-77;3222;5469353137012363
Улимов Кирилл Петрович;8480320846;Ростов-на-Дону;Омск;2024-04-01 13:00:00;2024-04-02 16:00:00;228;4-54;4173;5213243819705011
Рябикина Яна Ивановна;5831341369;Москва;Пермь;2023-10-26 08:00:00;2023-10-29 10:00:00;197;6-17;4610;4279668172005711
Курносова Алина Дмитриевна;6528895567;Волгоград;Новосибирск;2023-09-02 03:00:00;2023-09-06 14:00:00;456;6-7;4397;2216241350123836
Тысячников Федор Василиевич;9832833270;Нижний Новгород;Челябинск;2023-09-06 18:00:00;2023-09-08 22:00:00;523;1-36;3034;4279668092299933
Соперов Кирилл Денисович;6184268657;Краснодар;Омск;2023-09-28 03:00:00;2023-09-29 06:00:00;246;2-61;5249;2195397818551745
Теперкина Екатерина Ивановна;8934613533;Санкт-Петербург;Челябинск;2023-06-13 06:00:00;2023-06-15 21:00:00;729;10-25;14948;2195394455258916
Поисова Анна Василевна;3448932237;Ростов-на-Дону;Казань;2023-11-19 21:00:00;2023-11-24 22:00:00;569;4-76;5712;2195393524175918
Грешищева Катерина Дмитриевна;4645439271;Москва;Пермь;2023-10-26 08:00:00;2023-10-29 10:00:00;197;2-36;3100;4377734188931779
Лугинцева Жанна Никитична;2855666409;Казань;Екатеринбург;2024-03-01 17:00:00;2024-03-04 14:00:00;289;9-80;4364;5213241153795641
Копытова Маргарита Леонидовна;8639532319;Пермь;Санкт-Петербург;2023-12-27 08:00:00;2024-01-02 07:00:00;401;3-50;3373;4279663938517721
Симовский Виктор Сергеевич;9676486702;Краснодар;Москва;2024-04-09 20:00:00;2024-04-13 02:00:00;310;5-92;2765;2195390195792637
Кувырдина Маргарита Леонидовна;7892042902;Москва;Пермь;2023-10-26 08:00:00;2023-10-29 10:00:00;197;10-3;5018;4377737352172970
Чухненкова Ксения Николаевна;4463998493;Волгоград;Новосибирск;2023-09-02 03:00:00;2023-09-06 14:00:00;456;6-46;5117;2195398702451231
Тихленкова Евгения Евгеньевна;2700999838;Екатеринбург;Воронеж;2024-01-14 13:00:00;2024-01-16 03:00:00;385;2-21;2439;4377737361218772
Измодянов Борис Алексиевич;1366111706;Санкт-Петербург;Челябинск;2023-06-13 06:00:00;2023-06-15 21:00:00;729;5-99;4409;5469352123458266
Дудолев Георгий Алексеевич;8487857160;Ростов-на-Дону;Казань;2023-11-19 21:00:00;2023-11-24 22:00:00;569;7-88;3853;2279012403324491
Тухов Владимир Алексеевич;4698362556;Волгоград;Нижний Новгород;2023-05-11 18:00:00;2023-05-12 20:00:00;104;7-15;3682;5469350446424576
Зелянков Герасим Викторович;3725551662;Нижний Новгород;Санкт-Петербург;2024-01-10 16:00:00;2024-01-17 10:00:00;399;6-53;3010;5213242584507240
Щиницын Герасим Виталиевич;9899432786;Нижний Новгород;Челябинск;2023-09-06 18:00:00;2023-09-08 22:00:00;523;5-66;4223;4279669763283699
Афонюшкина Юлия Борисовна;1056460843;Екатеринбург;Воронеж;2024-01-14 13:00:00;2024-01-16 03:00:00;385;8-33;3293;5213249542986223
Бачаев Тарас Алексеевич;7758355087;Краснодар;Омск;2023-09-28 03:00:00;2023-09-29 06:00:00;246;7-51;3947;4105842134649386
Касютин Алексей Олегович;7045626782;Пермь;Санкт-Петербург;2023-12-27 08:00:00;2024-01-02 07:00:00;401;8-100;3125;2216243572336700
Осичев Андрей Адамович;4656761974;Волгоград;Новосибирск;2023-09-02 03:00:00;2023-09-06 14:00:00;456;7-71;6401;5154297956971521
Земенова Ольга Викторовна;2723353035;Краснодар;Москва;2024-04-09 20:00:00;2024-04-13 02:00:00;310;6-91;3833;5213246454457618
Кожаткина Софья Петровна;3250998475;Казань;Екатеринбург;2024-03-01 17:00:00;2024-03-04 14:00:00;289;3-60;3433;5154298148354268
Самехина Анна Федоровна;7932316480;Краснодар;Омск;2023-09-28 03:00:00;2023-09-29 06:00:00;246;8-90;4033;2279010312015736
Бегтина Алена Дмитриевна;6241224010;Нижний Новгород;Челябинск;2023-09-06 18:00:00;2023-09-08 22:00:00;523;5-62;6399;2279011758695265
Сапфиров Тарас Борисович;1609770907;Волгоград;Нижний Новгород;2023-05-11 18:00:00;2023-05-12 20:00:00;104;3-48;4803;2279013662532532
Бисеева Светлана Борисовна;1886269654;Ростов-на-Дону;Омск;2024-04-01 13:00:00;2024-04-02 16:00:00;228;8-54;6425;2216249251454461
Моисеечев Альберт Игоревич;7618144889;Санкт-Петербург;Челябинск;2023-06-13 06:00:00;2023-06-15 21:00:00;729;9-72;11758;2279013786743601
Гемодеева Вера Викторовна;5673010111;Ростов-на-Дону;Омск;2024-04-01 13:00:00;2024-04-02 16:00:00;228;2-15;6134;2216246527036737
Чумаевский Юрий Денисович;5312523386;Нижний Новгород;Санкт-Петербург;2024-01-10 16:00:00;2024-01-17 10:00:00;399;7-36;4682;4377732452016005
Подборнова Светлана Егоровна;7744373916;Екатеринбург;Воронеж;2024-01-14 13:00:00;2024-01-16 03:00:00;385;5-4;2962;2216243017196610
Дергелева Зинаида Вадимовна;1956474565;Волгоград;Новосибирск;2023-09-02 03:00:00;2023-09-06 14:00:00;456;2-34;4304;4105847463084848
Ридецкий Виктор Евгеньевич;6759579926;Волгоград;Нижний Новгород;2023-05-11 18:00:00;2023-05-12 20:00:00;104;4-9;4404;4377737970379646
Кахутин Анатолий Леонидович;7205301768;Ростов-на-Дону;Омск;2024-04-01 13:00:00;2024-04-02 16:00:00;228;6-40;4152;4105841595417827
Клюбинская Раиса Игоревна;2154061506;Краснодар;Омск;2023-09-28 03:00:00;2023-09-29 06:00:00;246;3-56;5744;2195393666308654
Становых Кристина Егоровна;5452174947;Казань;Екатеринбург;2024-03-01 17:00:00;2024-03-04 14:00:00;289;7-91;4651;2195397448619040
Вахтурова Ольга Андреевна;6659719625;Москва;Пермь;2023-10-26 08:00:00;2023-10-29 10:00:00;197;1-5;3964;4105849560602340
Приемский Павел Алексеевич;4388212171;Ростов-на-Дону;Казань;2023-11-19 21:00:00;2023-11-24 22:00:00;569;4-57;5441;2195395503777074
Бухаткин Олег Аркадиевич;4712396960;Ростов-на-Дону;Казань;2023-11-19 21:00:00;2023-11-24 22:00:00;569;1-39;3618;5154295555897475
Кормнова Надежда Игоревна;1174221807;Санкт-Петербург;Челябинск;2023-06-13 06:00:00;2023-06-15 21:00:00;729;7-3;14160;4377739644498161
Кузницин Ярослав Адамович;6238778936;Москва;Пермь;2023-10-26 08:00:00;2023-10-29 10:00:00;197;1-70;6470;4105844830081714
Викторский Григорий Фёдорович;2961318496;Москва;Пермь;2023-10-26 08:00:00;2023-10-29 10:00:00;197;1-33;4316;5469357744228553
Решенкова Жанна Максимовна;3036433566;Ростов-на-Дону;Казань;2023-11-19 21:00:00;2023-11-24 22:00:00;569;4-13;3533;2216243162449735
Хаджаев Яков Василиевич;3898680352;Волгоград;Нижний Новгород;2023-05-11 18:00:00;2023-05-12 20:00:00;104;8-38;3578;2195396020019462
Нехлин Ярослав Фёдорович;7960847576;Санкт-Петербург;Челябинск;2023-06-13 06:00:00;2023-06-15 21:00:00;729;6-64;5711;2216245321515139
Палышина Екатерина Леонидовна;7985142514;Краснодар;Москва;2024-04-09 20:00:00;2024-04-13 02:00:00;310;8-70;2214;2279014881203335
Мисковский Илья Леонидович;3998430934;Ростов-на-Дону;Омск;2024-04-01 13:00:00;2024-04-02 16:00:00;228;9-99;3915;5213241223420088
Шарлапова Алиса Алексеевна;7197464387;Москва;Пермь;2023-10-26 08:00:00;2023-10-29 10:00:00;197;2-99;4948;2195392241728650
Горшева Светлана Олеговна;8144314847;Ростов-на-Дону;Казань;2023-11-19 21:00:00;2023-11-24 22:00:00;569;4-54;5595;2195399871286296
Дятлова Ева Аркадьевна;2247464164;Нижний Новгород;Челябинск;2023-09-06 18:00:00;2023-09-08 22:00:00;523;9-51;6202;2279017930535853
Хайрулинов Александр Тимофеевич;6773739963;Нижний Новгород;Челябинск;2023-09-06 18:00:00;2023-09-08 22:00:00;523;8-3;4788;5154294802478329
Циганкова Раиса Михайловна;7615574612;Ростов-на-Дону;Омск;2024-04-01 13:00:00;2024-04-02 16:00:00;228;4-80;5829;5469350144920986
Граников Максим Евгеньевич;9235058649;Казань;Екатеринбург;2024-03-01 17:00:00;2024-03-04 14:00:00;289;5-13;6349;2216249369321547
Саркиева Кристина Василевна;1440829059;Волгоград;Новосибирск;2023-09-02 03:00:00;2023-09-06 14:00:00;456;8-96;3459;2279018928051316
Коноплина Алёна Кирилловна;9935456623;Ростов-на-Дону;Омск;2024-04-01 13:00:00;2024-04-02 16:00:00;228;2-25;5679;5154292279086183
Висленева Лиза Яковлевна;9764474751;Волгоград;Нижний Новгород;2023-05-11 18:00:00;2023-05-12 20:00:00;104;7-11;3796;2216240955879587
Кокошина Алена Ивановна;9381320673;Краснодар;Москва;2024-04-09 20:00:00;2024-04-13 02:00:00;310;5-82;2877;5469354811284305
Нечупаева Полина Николаевна;5895091945;Краснодар;Москва;2024-04-09 20:00:00;2024-04-13 02:00:00;310;9-44;3637;5213247537436658
Стерминова Виктория Евгеньевна;2751440925;Краснодар;Омск;2023-09-28 03:00:00;2023-09-29 06:00:00;246;1-77;5772;5469359004896348
Беляндинов Вячеслав Вадимович;1932543580;Нижний Новгород;Санкт-Петербург;2024-01-10 16:00:00;2024-01-17 10:00:00;399;7-51;4823;2216243901880789
Мусштакова Наталья Игоревна;6407678647;Екатеринбург;Воронеж;2024-01-14 13:00:00;2024-01-16 03:00:00;385;8-23;4582;4279663352865170
